manufacturer,model,price,car_details_url,fuel_type,vehicle_chasis
Citroen,C5 Aircross,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZR018G&condition=occasion,Benzine,SUV
BMW,1 Serie,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/1-serie,Benzine,Hatchback
Volkswagen,Golf,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/golf,Benzine,Hatchback
Audi,Q2,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/q2,Benzine,SUV
Renault,Austral MHEV,"€ 534,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/austral-mhev,Benzine,SUV
Audi,A3 Sportback MHEV,"€ 534,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a3-sportback-mhev,Benzine,Sedan
Mitsubishi,ASX PHEV,"€ 544,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/asx-phev,Elektriciteit / benzine,SUV
Mazda,MX-30 PHEV,"€ 544,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/mx-30-phev,Elektriciteit / benzine,SUV
Opel,Grandland,"€ 544,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/grandland,Benzine,SUV
Mitsubishi,Eclipse Cross PHEV,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/eclipse-cross-phev,Elektriciteit / benzine,SUV
DS,4,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/4,Benzine,Hatchback
Skoda,Karoq,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/karoq,Benzine,SUV
Cupra,Born Elektrisch,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/born-ev,Elektriciteit,Hatchback
Toyota,Corolla Cross Hybrid,"€ 554,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-cross-hybrid,Hybride benzine,SUV
Opel,Astra PHEV,"€ 559,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-phev,Benzine/Elektriciteit,Hatchback
Kia,EV6 Elektrisch,"€ 559,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ev6-ev,Elektriciteit,Hatchback
Volkswagen,Golf MHEV,"€ 564,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/golf-mhev,Benzine,Hatchback
Peugeot,e-308 Elektrisch,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-308-ev,Elektriciteit,Hatchback
Mazda,CX-5 MHEV,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/cx-5-mhev,Benzine,SUV
Volkswagen,Golf Variant MHEV,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/golf-variant-mhev,Benzine,Stationwagen
Hyundai,Tucson MHEV,"€ 574,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-mhev,Benzine,SUV
Lynk & Co,01 PHEV,"€ 574,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lynk--co/01-phev,Benzine,SUV
Opel,Astra Sports Tourer PHEV,"€ 579,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-sports-tourer-phev,Benzine /Elektriciteit,Stationwagen
BMW,2 Serie Gran Coupé,"€ 579,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-gran-coupe,Benzine,Sedan
Peugeot,3008 MHEV,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/3008-mhev,Benzine,SUV
